"Pokemon","Fast.Move","Charged.Move","DPS","TDO","DPS.3.TDO","CP","fastType","fastDmg","fastDps","chargeType","chargeDmg","chargeDps"
"3394","Shaymin (Land Forme)","Hidden Power (Bug)","Solar Beam",12.061,452,793.1,3265,NA,NA,NA,"grass","180","36.7"
"3395","Shaymin (Land Forme)","Hidden Power (Dragon)","Solar Beam",12.061,452,793.1,3265,NA,NA,NA,"grass","180","36.7"
"3396","Shaymin (Land Forme)","Hidden Power (Ghost)","Solar Beam",12.061,452,793.1,3265,NA,NA,NA,"grass","180","36.7"
"3397","Shaymin (Land Forme)","Hidden Power (Dark)","Solar Beam",12.061,452,793.1,3265,NA,NA,NA,"grass","180","36.7"
"3398","Shaymin (Land Forme)","Hidden Power (Steel)","Solar Beam",12.061,452,793.1,3265,NA,NA,NA,"grass","180","36.7"
"3399","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3400","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3401","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3402","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3403","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3404","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3405","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3406","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3407","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3408","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3409","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3410","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3411","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3412","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3413","Shaymin (Land Forme)","Hidden Power","Solar Beam",12.061,452,793.1,3265,"normal","15","10","grass","180","36.7"
"3414","Mesprit","Confusion","Blizzard",12.058,389.4,682.8,3058,"psychic","20","12.5","ice","130","41.9"
"3415","Shadow Charmeleon","Fire Fang","Flame Burst",12.056,163.2,286,1653,"fire","12","13.3","fire","70","26.9"
"3416","Machamp","Bullet Punch","Submission",12.055,323.2,566.1,3056,"steel","9","10","fighting","60","27.3"
"3417","Magneton","Charge Beam","Zap Cannon",12.054,234,409.8,2485,"electric","8","7.3","electric","140","37.8"
"3418","Rotom Wash","Thunder Shock","Hydro Pump",12.053,297.5,521,2579,"electric","5","8.3","water","130","39.4"
"3419","Kingdra","Dragon Breath","Hydro Pump",12.049,342.5,599.1,2641,"dragon","6","12","water","130","39.4"
"3420","Kabutops","Waterfall","Ancient Power",12.047,285.7,499.4,2713,"water","16","13.3","rock","70","20"
"3421","Ursaring","Shadow Claw","Close Combat",12.047,295.1,515.9,2945,"ghost","9","12.9","fighting","100","43.5"
"3422","Maractus","Bullet Seed","Solar Beam",12.046,237.6,415.3,2274,"grass","8","7.3","grass","180","36.7"
"3423","Lilligant","Hidden Power (Fire)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3424","Lilligant","Hidden Power (Fighting)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3425","Lilligant","Hidden Power (Water)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3426","Lilligant","Hidden Power (Flying)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3427","Lilligant","Hidden Power (Poison)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3428","Lilligant","Hidden Power (Electric)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3429","Lilligant","Hidden Power (Ground)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3430","Lilligant","Hidden Power (Psychic)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3431","Lilligant","Hidden Power (Rock)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3432","Lilligant","Hidden Power (Ice)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3433","Lilligant","Hidden Power (Bug)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3434","Lilligant","Hidden Power (Dragon)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3435","Lilligant","Hidden Power (Ghost)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3436","Lilligant","Hidden Power (Dark)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3437","Lilligant","Hidden Power (Steel)","Solar Beam",12.045,265.7,464.3,2550,NA,NA,NA,"grass","180","36.7"
"3438","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3439","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3440","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3441","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3442","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3443","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3444","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3445","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3446","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3447","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3448","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3449","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3450","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3451","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3452","Lilligant","Hidden Power","Solar Beam",12.045,265.7,464.3,2550,"normal","15","10","grass","180","36.7"
"3453","Omastar","Rock Throw","Rock Blast",12.043,337.6,589.6,2786,"rock","12","13.3","rock","50","23.8"
"3454","Charizard","Air Slash","Dragon Claw",12.041,315.8,551.3,2889,"flying","14","11.7","dragon","50","29.4"
"3455","Arceus","Iron Tail","Future Sight",12.038,530.5,925.3,3982,"steel","15","13.6","psychic","120","44.4"
"3456","Shadow Skarmory","Air Slash","Sky Attack",12.037,298.6,520.8,2108,"flying","14","11.7","flying","80","40"
"3457","Manaphy","Bubble","Psychic",12.036,451,786.4,3265,"water","12","10","psychic","90","32.1"
"3458","Reuniclus","Hidden Power (Fire)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3459","Reuniclus","Hidden Power (Fighting)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3460","Reuniclus","Hidden Power (Water)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3461","Reuniclus","Hidden Power (Flying)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3462","Reuniclus","Hidden Power (Grass)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3463","Reuniclus","Hidden Power (Poison)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3464","Reuniclus","Hidden Power (Electric)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3465","Reuniclus","Hidden Power (Ground)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3466","Reuniclus","Hidden Power (Rock)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3467","Reuniclus","Hidden Power (Ice)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3468","Reuniclus","Hidden Power (Bug)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3469","Reuniclus","Hidden Power (Dragon)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3470","Reuniclus","Hidden Power (Ghost)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3471","Reuniclus","Hidden Power (Dark)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3472","Reuniclus","Hidden Power (Steel)","Shadow Ball",12.036,349.9,610,2927,NA,NA,NA,"ghost","100","33.3"
"3473","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3474","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3475","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3476","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3477","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3478","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3479","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3480","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3481","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3482","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3483","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3484","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3485","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3486","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3487","Reuniclus","Hidden Power","Shadow Ball",12.036,349.9,610,2927,"normal","15","10","ghost","100","33.3"
"3488","Machamp","Bullet Punch","Heavy Slam",12.035,322.6,562.3,3056,"steel","9","10","steel","70","33.3"
"3489","Gyarados","Dragon Tail","Dragon Pulse",12.033,387.7,675.5,3391,"dragon","15","13.6","dragon","90","25"
"3490","Charizard","Wing Attack","Dragon Claw",12.032,315.5,549.5,2889,"flying","8","10","dragon","50","29.4"
"3491","Shadow Houndour","Feint Attack","Flamethrower",12.031,97.5,169.8,1234,"dark","10","11.1","fire","70","31.8"
"3492","Muk","Acid","Gunk Shot",12.03,387.2,674,2757,"poison","9","11.3","poison","130","41.9"
"3493","Shadow Lapras","Ice Shard","Blizzard",12.03,383.9,668.4,2641,"ice","12","10","ice","130","41.9"
"3494","Meganium","Razor Leaf","Frenzy Plant",12.029,371.3,646.3,2410,"grass","13","13","grass","100","38.5"
"3495","Mew","Poison Jab","Grass Knot",12.029,450.8,784.5,3265,"poison","10","12.5","grass","90","34.6"
"3496","Mew","Poison Jab","Wild Charge",12.029,450.8,784.5,3265,"poison","10","12.5","electric","90","34.6"
"3497","Infernape","Rock Smash","Close Combat",12.026,274.3,477.1,2683,"fighting","15","11.5","fighting","100","43.5"
"3498","Torterra","Razor Leaf","Return",12.026,391.4,680.7,2934,"grass","13","13","normal","35","50"
"3499","Togekiss","Air Slash","Flamethrower",12.025,412.4,717,3332,"flying","14","11.7","fire","70","31.8"
"3500","Starmie","Quick Attack","Hydro Pump",12.024,282.3,490.7,2584,"normal","8","10","water","130","39.4"
"3501","Shadow Poliwrath","Rock Smash","Submission",12.023,307.2,533.9,2586,"fighting","15","11.5","fighting","60","27.3"
"3502","Alolan Dugtrio","Metal Claw","Earthquake",12.019,165,286.5,1897,"steel","8","11.4","ground","140","38.9"
"3503","Primeape","Karate Chop","Close Combat",12.019,227.2,394.4,2288,"fighting","8","10","fighting","100","43.5"
"3504","Shadow Beedrill","Poison Jab","Fell Stinger",12.018,179.4,311.3,1846,"poison","10","12.5","bug","50","22.7"
"3505","Alolan Raichu","Thunder Shock","Grass Knot",12.016,239.6,415.7,2286,"electric","5","8.3","grass","90","34.6"
"3506","Victini","Confusion","Focus Blast",12.016,450.3,781.1,3265,"psychic","20","12.5","fighting","140","40"
"3507","Primeape","Karate Chop","Cross Chop",12.013,227,393.6,2288,"fighting","8","10","fighting","50","33.3"
"3508","Carvanha","Bite","Return",12.012,64.4,111.6,1020,"dark","6","12","normal","35","50"
"3509","Mew","Poison Jab","Psyshock",12.012,450.2,780.3,3265,"poison","10","12.5","psychic","65","24.1"
"3510","Shadow Machoke","Low Kick","Brick Break",12.012,199.4,345.6,2031,"fighting","6","10","fighting","40","25"
"3511","Shadow Pinsir","Bug Bite","Vise Grip",12.012,243.6,422.2,2959,"bug","5","10","normal","35","18.4"
"3512","Shadow Shelgon","Dragon Breath","Flamethrower",12.008,210.1,363.9,2031,"dragon","6","12","fire","70","31.8"
"3513","Hippowdon","Ice Fang","Earth Power",12.006,435.9,754.4,3085,"ice","12","8","ground","100","27.8"
"3514","Ho-Oh","Hidden Power (Fighting)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3515","Ho-Oh","Hidden Power (Water)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3516","Ho-Oh","Hidden Power (Grass)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3517","Ho-Oh","Hidden Power (Poison)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3518","Ho-Oh","Hidden Power (Electric)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3519","Ho-Oh","Hidden Power (Ground)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3520","Ho-Oh","Hidden Power (Psychic)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3521","Ho-Oh","Hidden Power (Rock)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3522","Ho-Oh","Hidden Power (Ice)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3523","Ho-Oh","Hidden Power (Bug)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3524","Ho-Oh","Hidden Power (Dragon)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3525","Ho-Oh","Hidden Power (Ghost)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3526","Ho-Oh","Hidden Power (Dark)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3527","Ho-Oh","Hidden Power (Steel)","Fire Blast",12.006,494.2,855.2,3863,NA,NA,NA,"fire","140","33.3"
"3528","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3529","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3530","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3531","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3532","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3533","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3534","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3535","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3536","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3537","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3538","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3539","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3540","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3541","Ho-Oh","Hidden Power","Fire Blast",12.006,494.2,855.2,3863,"normal","15","10","fire","140","33.3"
"3542","Kabutops","Fury Cutter","Stone Edge",12.006,284.7,492.7,2713,"bug","3","7.5","rock","100","43.5"
"3543","Banette","Hex","Dazzling Gleam",12.002,207.9,359.4,2298,"ghost","10","8.3","fairy","100","28.6"
"3544","Melmetal","Thunder Shock","Thunderbolt",12.001,476.3,823.2,3599,"electric","5","8.3","electric","80","32"
"3545","Ho-Oh","Hidden Power (Fighting)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3546","Ho-Oh","Hidden Power (Water)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3547","Ho-Oh","Hidden Power (Grass)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3548","Ho-Oh","Hidden Power (Poison)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3549","Ho-Oh","Hidden Power (Electric)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3550","Ho-Oh","Hidden Power (Ground)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3551","Ho-Oh","Hidden Power (Psychic)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3552","Ho-Oh","Hidden Power (Rock)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3553","Ho-Oh","Hidden Power (Ice)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3554","Ho-Oh","Hidden Power (Bug)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3555","Ho-Oh","Hidden Power (Dragon)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3556","Ho-Oh","Hidden Power (Ghost)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3557","Ho-Oh","Hidden Power (Dark)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3558","Ho-Oh","Hidden Power (Steel)","Solar Beam",11.995,493.7,852.2,3863,NA,NA,NA,"grass","180","36.7"
"3559","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3560","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3561","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3562","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3563","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3564","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3565","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3566","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3567","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3568","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3569","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3570","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3571","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3572","Ho-Oh","Hidden Power","Solar Beam",11.995,493.7,852.2,3863,"normal","15","10","grass","180","36.7"
"3573","Archen","Wing Attack","Dragon Claw",11.991,139.3,240.2,1842,"flying","8","10","dragon","50","29.4"
"3574","Shadow Ambipom","Scratch","Low Sweep",11.991,214.8,370.3,2418,"normal","6","12","fighting","40","21.1"
"3575","Giratina (Altered Forme)","Shadow Claw","Dragon Claw",11.99,597.1,1029.2,3379,"ghost","9","12.9","dragon","50","29.4"
"3576","Shadow Dusknoir","Hex","Psychic",11.99,266.7,459.7,2388,"ghost","10","8.3","psychic","90","32.1"
"3577","Alolan Dugtrio","Metal Claw","Iron Head",11.989,164.6,283.7,1897,"steel","8","11.4","steel","60","31.6"
"3578","Flygon","Mud Shot","Earthquake",11.989,312.1,537.9,2661,"ground","5","8.3","ground","140","38.9"
"3579","Slowbro","Confusion","Psychic",11.989,374.8,645.9,2545,"psychic","20","12.5","psychic","90","32.1"
"3580","Slowking","Confusion","Psychic",11.989,374.8,645.9,2545,"psychic","20","12.5","psychic","90","32.1"
"3581","Shadow Slowking","Water Gun","Blizzard",11.985,312.2,537.5,2545,"water","5","10","ice","130","41.9"
"3582","Mr. Mime","Zen Headbutt","Psychic",11.984,247,425.1,2228,"psychic","12","10.9","psychic","90","32.1"
"3583","Empoleon","Metal Claw","Flash Cannon",11.982,354.3,609.6,2900,"steel","8","11.4","steel","100","37"
"3584","Scyther","Steel Wing","Aerial Ace",11.982,287.7,494.8,2706,"steel","11","13.8","flying","55","22.9"
"3585","Aerodactyl","Steel Wing","Hyper Beam",11.981,296.6,510.1,2783,"steel","11","13.8","normal","150","39.5"
"3586","Braviary","Steel Wing","Close Combat",11.981,333.3,573.2,3088,"steel","11","13.8","fighting","100","43.5"
"3587","Zekrom","Charge Beam","Flash Cannon",11.981,413.4,711,4038,"electric","8","7.3","steel","100","37"
"3588","Flareon","Ember","Heat Wave",11.98,287.1,493.7,3029,"fire","10","10","fire","95","31.7"
"3589","Mega Glalie","Ice Shard","Gyro Ball",11.976,343,589.1,3229,"ice","12","10","steel","80","24.2"
"3590","Alolan Dugtrio","Mud Slap","Iron Head",11.975,164.4,282.3,1897,NA,NA,NA,"steel","60","31.6"
"3591","Mega Altaria","Peck","Sky Attack",11.972,417.4,716.1,3163,"flying","10","10","flying","80","40"
"3592","Shadow Hypno","Confusion","Psychic",11.971,306.7,526.2,2090,"psychic","20","12.5","psychic","90","32.1"
"3593","Vileplume","Acid","Petal Blizzard",11.97,296.3,508.2,2559,"poison","9","11.3","grass","110","42.3"
"3594","Galvantula","Fury Cutter","Bug Buzz",11.968,222.1,380.7,2206,"bug","3","7.5","bug","90","24.3"
"3595","Pinsir","Bug Bite","Submission",11.968,291.2,499.2,2959,"bug","5","10","fighting","60","27.3"
"3596","Fraxure","Dragon Tail","Aqua Tail",11.967,206.3,353.5,2234,"dragon","15","13.6","water","50","26.3"
"3597","Shadow Snorlax","Zen Headbutt","Heavy Slam",11.967,439.3,753,3225,"psychic","12","10.9","steel","70","33.3"
"3598","Ninjask","Metal Claw","Shadow Ball",11.963,180.3,308.6,1969,"steel","8","11.4","ghost","100","33.3"
"3599","Drapion","Bite","Sludge Bomb",11.96,336.8,576.1,2453,"dark","6","12","poison","80","34.8"
"3600","Porygon2","Lock-On","Hyper Beam",11.957,344.7,589.2,2711,"normal","1","3.3","normal","150","39.5"
"3601","Haunter","Lick","Dark Pulse",11.953,144.7,247.1,1963,"ghost","5","10","dark","80","26.7"
"3602","Jynx","Frost Breath","Focus Blast",11.951,245.1,418.3,2555,"ice","10","11.1","fighting","140","40"
"3603","Arcanine","Fire Fang","Crunch",11.95,333.2,568.6,3029,"fire","12","13.3","dark","70","21.9"
"3604","Shadow Mawile","Bite","Play Rough",11.95,163.9,279.6,1634,"dark","6","12","fairy","90","31"
"3605","Magnezone","Spark","Mirror Shot",11.944,341,581.1,3205,"electric","6","8.6","steel","50","20.8"
"3606","Machamp","Bullet Punch","Rock Slide",11.943,320.2,545.4,3056,"steel","9","10","rock","80","29.6"
"3607","Tangela","Infestation","Grass Knot",11.938,271.3,461.7,2238,"bug","10","9.1","grass","90","34.6"
"3608","Tangela","Infestation","Power Whip",11.938,271.3,461.7,2238,"bug","10","9.1","grass","90","34.6"
"3609","Shadow Cloyster","Frost Breath","Aurora Beam",11.937,284.4,483.7,2547,"ice","10","11.1","ice","80","22.5"
"3610","Shadow Abomasnow","Powder Snow","Outrage",11.936,265.1,450.8,2362,"ice","6","6","dragon","110","28.2"
"3611","Togekiss","Hidden Power (Flying)","Aerial Ace",11.931,409.2,694.9,3332,NA,NA,NA,"flying","55","22.9"
"3612","Togekiss","Hidden Power","Aerial Ace",11.931,409.2,694.9,3332,"normal","15","10","flying","55","22.9"
"3613","Heracross","Struggle Bug","Earthquake",11.929,329.2,558.8,3101,"bug","15","10","ground","140","38.9"
"3614","Alolan Raichu","Spark","Grass Knot",11.926,237.8,403.3,2286,"electric","6","8.6","grass","90","34.6"
"3615","Beheeyem","Confusion","Dark Pulse",11.925,288.7,489.6,2753,"psychic","20","12.5","dark","80","26.7"
"3616","Seismitoad","Mud Shot","Earth Power",11.924,338.6,574.1,2564,"ground","5","8.3","ground","100","27.8"
"3617","Shadow Ninetales","Feint Attack","Flamethrower",11.923,271.4,460,2279,"dark","10","11.1","fire","70","31.8"
"3618","Duosion","Hidden Power (Fire)","Psyshock",11.922,173.8,294.5,2018,NA,NA,NA,"psychic","65","24.1"
"3619","Duosion","Hidden Power (Fighting)","Psyshock",11.922,173.8,294.5,2018,NA,NA,NA,"psychic","65","24.1"
"3620","Duosion","Hidden Power (Water)","Psyshock",11.922,173.8,294.5,2018,NA,NA,NA,"psychic","65","24.1"
"3621","Duosion","Hidden Power (Flying)","Psyshock",11.922,173.8,294.5,2018,NA,NA,NA,"psychic","65","24.1"
"3622","Duosion","Hidden Power (Grass)","Psyshock",11.922,173.8,294.5,2018,NA,NA,NA,"psychic","65","24.1"
